ranker,player,pos,age,team_id,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,player-additional
31,Wendell Carter Jr.,C,25,ORL,5,5,162,21,40,.525,3,11,.273,18,29,.621,.563,6,10,.600,19,35,54,6,2,2,8,12,51,cartewe01
32,Alex Caruso,SG,30,OKC,8,0,170,23,53,.434,14,34,.412,9,19,.474,.566,8,13,.615,5,18,23,25,15,6,5,15,68,carusal01
33,Cam Christie,SG,19,LAC,3,0,13,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,2,2,0,1,0,1,0,5,chrisca02
34,Jaylen Clark,SG,23,MIN,2,0,6,0,0,,0,0,,0,0,,,2,2,1.000,0,1,1,0,1,0,1,2,2,clarkja02
35,Mike Conley,PG,37,MIN,9,9,217,17,56,.304,10,33,.303,7,23,.304,.393,8,9,.889,11,16,27,30,5,1,6,13,52,conlemi01
36,Pat Connaughton,SG,32,MIL,3,0,14,2,8,.250,1,4,.250,1,4,.250,.313,1,2,.500,0,2,2,1,0,0,1,1,6,connapa01
37,Torrey Craig,SF,34,BOS,3,0,8,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,1,0,1,0,3,craigto01
38,Cade Cunningham,PG,23,DET,6,6,248,55,129,.426,5,28,.179,50,101,.495,.446,35,42,.833,6,44,50,52,11,8,32,20,150,cunnica01
39,Stephen Curry,PG,36,GSW,8,8,281,62,130,.477,32,80,.400,30,50,.600,.600,25,28,.893,2,40,42,41,8,6,27,13,181,curryst01
40,Tristan Da Silva,SF,23,ORL,2,0,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,4,4,1,0,0,2,0,0,dasiltr01
41,JD Davison,PG,22,BOS,2,0,5,0,4,.000,0,1,.000,0,3,.000,.000,0,0,,1,2,3,2,0,0,0,0,0,davisjd01
42,Ousmane Dieng,C,21,OKC,1,0,8,0,3,.000,0,1,.000,0,2,.000,.000,2,2,1.000,0,2,2,1,0,0,0,0,2,diengou01
43,Donte DiVincenzo,SG,28,MIN,9,0,232,24,80,.300,12,52,.231,12,28,.429,.375,7,9,.778,9,21,30,29,13,3,18,31,67,divindo01
44,Luka Dončić,PG,25,LAL,5,5,208,47,104,.452,16,46,.348,31,58,.534,.529,41,46,.891,2,33,35,29,5,3,20,16,151,doncilu01
45,Luguentz Dort,SF,25,OKC,8,8,227,19,64,.297,14,55,.255,5,9,.556,.406,9,12,.750,11,18,29,6,6,5,5,26,61,dortlu01
46,Kris Dunn,PG,30,LAC,7,6,153,17,44,.386,10,28,.357,7,16,.438,.500,0,0,,10,14,24,9,8,4,1,18,44,dunnkr01
47,Jalen Duren,C,21,DET,6,6,203,26,40,.650,0,0,,26,40,.650,.650,19,23,.826,26,38,64,21,2,10,10,26,71,durenja01
48,Tari Eason,PF,23,HOU,7,0,132,21,44,.477,7,19,.368,14,25,.560,.557,4,8,.500,7,23,30,5,8,7,10,13,53,easonta01
49,Zach Edey,C,22,MEM,4,4,108,10,15,.667,0,0,,10,15,.667,.667,5,7,.714,11,20,31,7,0,10,6,12,25,edeyza01
50,Anthony Edwards,SG,23,MIN,9,9,358,86,196,.439,30,82,.366,56,114,.491,.515,41,55,.745,13,60,73,47,14,5,16,17,243,edwaran01
51,Drew Eubanks,C,27,LAC,3,0,13,0,2,.000,0,0,,0,2,.000,.000,4,6,.667,0,1,1,0,0,0,0,2,4,eubandr01
52,Dorian Finney-Smith,PF,31,LAL,5,1,170,12,29,.414,7,19,.368,5,10,.500,.534,0,0,,10,11,21,13,1,2,5,17,31,finnedo01
53,Johnny Furphy,SG,20,IND,5,0,21,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,1,3,4,1,0,1,0,5,0,furphjo01
54,Darius Garland,PG,25,CLE,4,4,115,25,53,.472,10,29,.345,15,24,.625,.566,19,20,.950,1,6,7,23,2,0,10,13,79,garlada01
55,Luka Garza,C,26,MIN,2,0,5,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,0,1,2,garzalu01
56,Shai Gilgeous-Alexander,PG,26,OKC,8,8,293,75,172,.436,11,47,.234,64,125,.512,.468,60,70,.857,14,39,53,53,11,5,15,22,221,gilgesh01
57,Rudy Gobert,C,32,MIN,9,9,253,26,47,.553,0,0,,26,47,.553,.553,20,34,.588,32,56,88,3,5,12,9,26,72,goberru01
58,Jordan Goodwin,PG,26,LAL,4,0,31,1,5,.200,0,2,.000,1,3,.333,.200,1,2,.500,2,3,5,2,1,1,1,7,3,goodwjo01
59,Aaron Gordon,PF,29,DEN,11,11,422,71,143,.497,19,46,.413,52,97,.536,.563,40,46,.870,42,41,83,28,6,5,18,31,201,gordoaa01
60,A.J. Green,SG,25,MIL,5,1,135,18,39,.462,18,35,.514,0,4,.000,.692,1,2,.500,2,12,14,10,0,1,0,13,55,greenaj01
61,Draymond Green,PF,34,GSW,11,11,353,38,97,.392,15,54,.278,23,43,.535,.469,8,11,.727,7,53,60,40,16,11,33,40,99,greendr01
62,Jalen Green,SG,22,HOU,7,7,219,32,86,.372,13,44,.295,19,42,.452,.448,16,24,.667,3,35,38,20,4,2,10,6,93,greenja05
63,Javonte Green,SG,31,CLE,6,0,39,4,10,.400,1,5,.200,3,5,.600,.450,6,6,1.000,1,8,9,2,4,0,2,2,15,greenja02
64,Jeff Green,PF,38,HOU,3,0,5,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,1,0,1,0,0,0,0,0,3,greenje02
65,Rui Hachimura,PF,26,LAL,5,5,182,28,57,.491,15,31,.484,13,26,.500,.623,3,3,1.000,4,19,23,5,3,3,7,12,74,hachiru01
66,Tyrese Haliburton,PG,24,IND,9,9,305,53,118,.449,16,55,.291,37,63,.587,.517,22,28,.786,3,46,49,85,6,8,17,13,144,halibty01
67,Tim Hardaway Jr.,SG,32,DET,6,6,188,24,71,.338,16,52,.308,8,19,.421,.451,8,10,.800,2,15,17,7,2,0,9,10,72,hardati02
68,James Harden,PG,35,LAC,7,7,276,44,101,.436,16,44,.364,28,57,.491,.515,27,33,.818,4,34,38,64,9,7,21,16,131,hardeja01
69,Gary Harris,SG,30,ORL,5,0,83,3,8,.375,1,6,.167,2,2,1.000,.438,0,0,,1,4,5,3,3,1,0,7,7,harriga01
70,Tobias Harris,PF,32,DET,6,6,233,34,71,.479,10,23,.435,24,48,.500,.549,16,16,1.000,8,38,46,3,6,7,6,16,94,harrito02
71,Josh Hart,SG,29,NYK,10,10,375,44,90,.489,12,31,.387,32,59,.542,.556,24,32,.750,24,60,84,49,12,9,19,33,124,hartjo01
72,Isaiah Hartenstein,C,26,OKC,8,8,209,36,65,.554,0,0,,36,65,.554,.554,8,12,.667,28,48,76,28,8,5,12,25,80,harteis01
73,Sam Hauser,PF,27,BOS,6,0,78,6,13,.462,4,11,.364,2,2,1.000,.615,0,0,,0,8,8,2,1,1,3,7,16,hausesa01
74,Jaxson Hayes,C,24,LAL,4,4,31,3,8,.375,0,0,,3,8,.375,.375,1,2,.500,5,3,8,1,0,1,1,8,7,hayesja02
75,Tyler Herro,SG,25,MIA,4,4,144,27,65,.415,9,29,.310,18,36,.500,.485,8,10,.800,0,14,14,11,2,0,9,12,71,herroty01
76,Buddy Hield,SG,32,GSW,11,8,298,50,116,.431,33,73,.452,17,43,.395,.573,9,10,.900,16,22,38,20,12,5,9,19,142,hieldbu01
77,Haywood Highsmith,SF,28,MIA,4,0,84,11,19,.579,7,15,.467,4,4,1.000,.763,0,0,,4,9,13,4,3,2,4,11,29,highsha01
78,Aaron Holiday,PG,28,HOU,3,0,27,4,10,.400,2,5,.400,2,5,.400,.500,2,4,.500,1,1,2,3,0,0,1,3,12,holidaa01
79,Jrue Holiday,PG,34,BOS,6,6,202,23,44,.523,7,21,.333,16,23,.696,.602,5,6,.833,9,13,22,26,6,1,13,18,58,holidjr01
80,Ron Holland,SF,19,DET,5,0,34,0,5,.000,0,3,.000,0,2,.000,.000,9,10,.900,3,3,6,0,0,1,6,5,9,hollaro01
81,Chet Holmgren,C,22,OKC,8,8,239,41,98,.418,14,41,.341,27,57,.474,.490,31,37,.838,14,63,77,7,7,20,10,16,127,holmgch01
82,Al Horford,C,38,BOS,9,7,297,25,58,.431,10,28,.357,15,30,.500,.517,6,7,.857,16,43,59,18,7,13,5,23,66,horfoal01
83,Caleb Houstan,SF,22,ORL,5,0,47,2,14,.143,2,10,.200,0,4,.000,.214,0,0,,2,2,4,1,0,1,2,3,6,houstca01
84,Jett Howard,SF,21,ORL,1,0,4,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,1,6,howarje01
85,Jay Huff,C,26,MEM,2,0,18,2,4,.500,0,1,.000,2,3,.667,.500,4,4,1.000,1,2,3,1,0,3,1,1,8,huffja01
86,Ariel Hukporti,C,22,NYK,1,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,2,2,0,0,0,0,0,2,hukpoar01
87,De'Andre Hunter,SF,27,CLE,7,0,155,22,51,.431,10,22,.455,12,29,.414,.529,22,25,.880,4,20,24,7,3,1,7,13,76,huntede01
88,Jonathan Isaac,PF,27,ORL,5,0,69,7,12,.583,1,4,.250,6,8,.750,.625,3,5,.600,5,5,10,2,2,1,2,3,18,isaacjo01
89,Andre Jackson Jr.,SG,23,MIL,2,0,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,jacksan01
90,Jaren Jackson Jr.,C,25,MEM,4,4,137,22,58,.379,3,11,.273,19,47,.404,.405,17,20,.850,9,11,20,6,4,2,11,14,64,jacksja02
91,Trayce Jackson-Davis,C,24,GSW,8,2,73,15,17,.882,0,0,,15,17,.882,.882,5,13,.385,7,12,19,2,2,2,1,15,35,jackstr02
92,Bronny James,SG,20,LAL,2,0,4,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,jamesbr02
93,LeBron James,SF,40,LAL,5,5,204,43,88,.489,10,28,.357,33,60,.550,.545,31,40,.775,12,33,45,28,10,9,13,8,127,jamesle01
94,Jaime Jaquez Jr.,SF,23,MIA,3,0,19,1,6,.167,0,2,.000,1,4,.250,.167,2,2,1.000,3,1,4,1,0,0,1,1,4,jaqueja01
95,Ty Jerome,SG,27,CLE,8,1,180,34,87,.391,12,33,.364,22,54,.407,.460,17,20,.850,5,17,22,30,4,1,11,13,97,jeromty01
96,Isaiah Joe,SG,25,OKC,8,0,105,18,38,.474,12,31,.387,6,7,.857,.632,3,4,.750,6,5,11,10,4,0,4,5,51,joeis01
97,James Johnson,PF,37,IND,2,0,13,2,3,.667,0,1,.000,2,2,1.000,.667,1,2,.500,0,1,1,2,2,2,1,1,5,johnsja01
98,Keshad Johnson,SF,23,MIA,2,0,8,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,1,1,2,johnske10
99,Nikola Jokić,C,29,DEN,11,11,441,100,220,.455,20,59,.339,80,161,.497,.500,54,73,.740,21,119,140,92,24,11,47,37,274,jokicni01
100,Derrick Jones Jr.,SF,27,LAC,7,1,129,21,48,.438,6,20,.300,15,28,.536,.500,3,8,.375,5,8,13,2,4,9,3,3,51,jonesde02
101,Dillon Jones,SF,23,OKC,2,0,16,2,3,.667,0,1,.000,2,2,1.000,.667,2,2,1.000,0,2,2,1,0,1,2,1,6,jonesdi01
102,DeAndre Jordan,C,36,DEN,7,0,36,3,3,1.000,0,0,,3,3,1.000,1.000,0,4,.000,1,8,9,2,0,1,2,9,6,jordade01
103,Cory Joseph,PG,33,ORL,5,5,124,10,24,.417,5,16,.313,5,8,.625,.521,0,0,,1,8,9,15,5,2,2,10,25,josepco01
104,Nikola Jović,PF,21,MIA,4,0,75,13,35,.371,6,24,.250,7,11,.636,.457,6,6,1.000,4,12,16,6,3,1,5,2,38,jovicni01
105,Luke Kennard,SG,28,MEM,4,0,80,8,18,.444,2,9,.222,6,9,.667,.500,0,0,,2,12,14,8,4,1,6,3,18,kennalu01
106,Braxton Key,SF,27,GSW,5,0,23,1,8,.125,0,1,.000,1,7,.143,.125,0,0,,5,4,9,1,2,2,3,4,2,keybr01
107,Maxi Kleber,PF,33,LAL,1,0,5,0,1,.000,0,1,.000,0,0,,.000,2,2,1.000,0,0,0,0,0,0,1,1,2,klebima01
108,Dalton Knecht,SF,23,LAL,2,0,4,2,5,.400,1,4,.250,1,1,1.000,.500,0,0,,2,1,3,0,0,0,0,0,5,knechda01
109,Kevin Knox,SF,25,GSW,5,0,38,8,20,.400,1,6,.167,7,14,.500,.425,4,5,.800,3,4,7,4,0,1,2,2,21,knoxke01
110,John Konchar,SG,28,MEM,4,0,69,3,9,.333,1,6,.167,2,3,.667,.389,4,4,1.000,3,10,13,6,2,2,2,8,11,konchjo01
111,Luke Kornet,C,29,BOS,9,0,134,14,21,.667,0,0,,14,21,.667,.667,7,7,1.000,12,17,29,3,5,5,3,14,35,kornelu01
112,Jonathan Kuminga,PF,22,GSW,7,1,155,34,70,.486,7,16,.438,27,54,.500,.536,21,28,.750,6,11,17,10,2,4,11,11,96,kuminjo01
113,Kyle Kuzma,PF,29,MIL,5,4,102,12,35,.343,2,10,.200,10,25,.400,.371,3,6,.500,3,8,11,4,0,1,3,12,29,kuzmaky01
114,Jock Landale,C,29,HOU,1,0,5,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,0,0,0,0,0,2,landajo01
115,Pelle Larsson,SG,23,MIA,4,0,52,8,15,.533,3,8,.375,5,7,.714,.633,1,3,.333,2,7,9,4,1,0,2,6,20,larsspe01
116,Alex Len,C,31,LAL,2,0,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,3,1,4,0,0,0,0,0,0,lenal01
117,Kawhi Leonard,SF,33,LAC,7,7,265,66,123,.537,15,37,.405,51,86,.593,.598,28,36,.778,11,42,53,33,8,5,15,12,175,leonaka01
118,Damian Lillard,PG,34,MIL,3,3,75,6,27,.222,3,16,.188,3,11,.273,.278,6,7,.857,1,7,8,14,2,2,3,8,21,lillada01
119,Chris Livingston,SF,21,MIL,2,0,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,0,0,livinch01
120,Kevon Looney,C,28,GSW,11,0,114,10,23,.435,0,0,,10,23,.435,.435,6,8,.750,16,24,40,3,5,4,2,27,26,looneke01
121,Brook Lopez,C,36,MIL,5,4,74,8,22,.364,4,15,.267,4,7,.571,.455,5,5,1.000,3,5,8,4,1,5,4,11,25,lopezbr01
122,Bennedict Mathurin,SF,22,IND,8,0,144,28,59,.475,9,31,.290,19,28,.679,.551,29,33,.879,4,16,20,5,5,1,10,19,94,mathube01
123,Miles McBride,PG,24,NYK,10,0,171,18,48,.375,12,32,.375,6,16,.375,.500,2,4,.500,0,10,10,8,4,0,5,10,50,mcbrimi01
124,T.J. McConnell,PG,32,IND,9,0,156,36,68,.529,3,6,.500,33,62,.532,.551,11,12,.917,5,24,29,42,4,0,12,8,86,mccontj01
125,Jaden McDaniels,PF,24,MIN,9,9,319,56,98,.571,10,26,.385,46,72,.639,.622,18,21,.857,17,40,57,11,10,8,8,30,140,mcdanja02
126,Sam Merrill,SG,28,CLE,8,3,159,15,40,.375,14,39,.359,1,1,1.000,.550,2,3,.667,7,13,20,14,4,2,2,18,46,merrisa01
127,Jordan Miller,SF,25,LAC,3,0,13,3,7,.429,0,1,.000,3,6,.500,.429,1,2,.500,0,2,2,4,3,0,0,0,7,millejo02
128,Leonard Miller,SF,21,MIN,2,0,5,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,1,2,0,0,0,0,0,2,millele01
129,Patty Mills,PG,36,LAC,1,0,4,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,0,0,0,0,0,0,1,1,3,millspa02
130,Shake Milton,SG,28,LAL,2,0,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,1,0,miltosh01
131,Josh Minott,SF,22,MIN,2,0,6,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,0,0,1,0,0,0,0,2,minotjo01
132,Ajay Mitchell,SG,22,OKC,3,0,30,6,13,.462,3,6,.500,3,7,.429,.577,1,2,.500,0,2,2,2,1,0,1,4,16,mitchaj01
133,Davion Mitchell,PG,26,MIA,4,3,142,25,41,.610,7,14,.500,18,27,.667,.695,3,7,.429,2,7,9,25,3,1,8,11,60,mitchda01
134,Donovan Mitchell,SG,28,CLE,8,8,251,78,169,.462,24,71,.338,54,98,.551,.533,51,68,.750,9,24,33,34,13,2,15,16,231,mitchdo01
135,Evan Mobley,PF,23,CLE,7,7,220,43,75,.573,13,29,.448,30,46,.652,.660,14,16,.875,16,38,54,12,9,6,11,10,113,mobleev01
136,Moses Moody,SG,22,GSW,11,2,181,25,74,.338,13,42,.310,12,32,.375,.426,10,12,.833,8,17,25,12,4,3,3,13,73,moodymo01
137,Ja Morant,PG,25,MEM,3,3,82,22,53,.415,4,16,.250,18,37,.486,.453,7,11,.636,1,5,6,15,2,2,6,3,55,moranja01
138,Jamal Murray,PG,27,DEN,11,11,459,86,188,.457,28,69,.406,58,119,.487,.532,39,45,.867,6,49,55,61,14,8,33,23,239,murraja01
139,Andrew Nembhard,SG,25,IND,9,9,291,48,98,.490,19,38,.500,29,60,.483,.587,13,15,.867,5,26,31,54,13,2,15,20,128,nembhan01
140,Aaron Nesmith,SF,25,IND,9,9,259,48,88,.545,26,49,.531,22,39,.564,.693,11,12,.917,14,38,52,14,5,8,7,35,133,nesmiaa01
141,Zeke Nnaji,PF,24,DEN,5,0,25,1,6,.167,1,4,.250,0,2,.000,.250,4,7,.571,3,2,5,2,1,2,2,5,7,nnajize01
142,Chuma Okeke,PF,26,CLE,3,0,13,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,0,0,1,1,0,0,0,3,okekech01
143,Isaac Okoro,SG,24,CLE,8,0,111,14,28,.500,6,16,.375,8,12,.667,.607,5,8,.625,4,7,11,5,5,1,3,12,39,okorois01
144,Cameron Payne,PG,30,NYK,10,0,74,10,26,.385,3,13,.231,7,13,.538,.442,1,3,.333,0,5,5,6,4,0,5,15,24,payneca01
145,Gary Payton II,SG,32,GSW,10,1,174,21,47,.447,9,23,.391,12,24,.500,.543,0,0,,10,14,24,16,9,0,6,21,51,paytoga02
146,Jalen Pickett,SG,25,DEN,7,0,48,3,10,.300,1,4,.250,2,6,.333,.350,0,0,,0,5,5,3,0,1,6,3,7,pickeja02
147,Scotty Pippen Jr.,PG,24,MEM,4,4,129,22,58,.379,10,28,.357,12,30,.400,.466,19,19,1.000,4,18,22,14,4,1,14,19,73,pippesc02
148,Brandin Podziemski,SG,21,GSW,11,10,346,37,113,.327,18,61,.295,19,52,.365,.407,15,19,.789,14,40,54,33,13,2,16,15,107,podzibr01
149,Craig Porter Jr.,PG,24,CLE,6,0,35,6,12,.500,0,3,.000,6,9,.667,.500,0,0,,3,3,6,9,3,2,2,2,12,portecr01
150,Kevin Porter Jr.,SG,24,MIL,5,1,151,19,48,.396,7,15,.467,12,33,.364,.469,11,13,.846,3,15,18,27,4,0,9,12,56,porteke02
151,Michael Porter Jr.,SF,26,DEN,11,11,354,39,96,.406,22,56,.393,17,40,.425,.521,10,14,.714,11,55,66,6,5,5,11,19,110,portemi01
152,Bobby Portis,PF,29,MIL,5,1,158,30,68,.441,10,28,.357,20,40,.500,.515,0,1,.000,8,33,41,7,2,2,6,8,70,portibo01
153,Kristaps Porziņģis,C,29,BOS,9,6,207,24,72,.333,3,22,.136,21,50,.420,.354,29,41,.707,20,25,45,8,10,7,8,23,80,porzikr01
154,Quinten Post,PF,24,GSW,11,2,136,15,44,.341,9,28,.321,6,16,.375,.443,3,4,.750,6,19,25,12,3,3,4,19,42,postqu01
155,Norman Powell,SG,31,LAC,7,7,238,42,89,.472,14,40,.350,28,49,.571,.551,14,18,.778,1,16,17,17,8,2,12,15,112,powelno01
156,Taurean Prince,SF,30,MIL,5,2,61,2,10,.200,2,9,.222,0,1,.000,.300,0,0,,0,5,5,8,2,1,5,3,6,princta02
157,Payton Pritchard,PG,27,BOS,9,0,235,34,72,.472,21,49,.429,13,23,.565,.618,14,17,.824,6,12,18,10,5,0,9,17,103,pritcpa01
158,Neemias Queta,C,25,BOS,2,0,6,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,0,0,0,1,0,0,0,0,4,quetane01
159,Julius Randle,PF,30,MIN,9,9,334,73,151,.483,17,49,.347,56,102,.549,.540,47,53,.887,14,37,51,54,8,2,26,31,210,randlju01
160,Austin Reaves,SG,26,LAL,5,5,196,30,73,.411,15,47,.319,15,26,.577,.514,6,7,.857,4,23,27,18,1,3,14,18,81,reaveau01
161,Paul Reed,C,25,DET,5,0,53,5,8,.625,0,0,,5,8,.625,.625,4,6,.667,7,8,15,1,5,3,5,8,14,reedpa01
162,Naz Reid,C,25,MIN,9,0,232,37,70,.529,21,43,.488,16,27,.593,.679,7,11,.636,6,26,32,16,8,7,16,26,102,reidna01
163,Duncan Robinson,SF,30,MIA,4,0,59,5,14,.357,4,12,.333,1,2,.500,.500,3,4,.750,0,4,4,1,0,0,6,6,17,robindu01
164,Mitchell Robinson,C,26,NYK,10,0,186,15,29,.517,0,0,,15,29,.517,.517,11,38,.289,37,28,65,4,8,4,8,20,41,robinmi01
165,Ryan Rollins,PG,22,MIL,3,1,30,4,13,.308,2,7,.286,2,6,.333,.385,0,0,,1,1,2,4,1,0,0,4,10,rolliry01
166,Gui Santos,PF,22,GSW,9,0,56,8,13,.615,4,7,.571,4,6,.667,.769,4,6,.667,0,7,7,8,3,0,6,9,24,santogu01
167,Baylor Scheierman,SG,24,BOS,2,0,6,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,0,2,2,0,0,0,0,1,3,scheiba01
168,Dennis Schröder,PG,31,DET,6,0,164,26,53,.491,10,21,.476,16,32,.500,.585,13,16,.813,4,10,14,22,7,1,7,12,75,schrode01
169,Alperen Şengün,C,22,HOU,7,7,256,59,131,.450,3,8,.375,56,123,.455,.462,25,40,.625,21,62,83,37,13,3,15,26,146,sengual01
170,Landry Shamet,SG,27,NYK,5,0,22,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,0,0,0,0,0,2,0,2,shamela01
171,Terrence Shannon Jr.,SG,24,MIN,5,0,18,2,6,.333,0,0,,2,6,.333,.333,0,0,,1,4,5,2,2,0,0,2,4,shannte01
172,Ben Sheppard,SG,23,IND,7,0,92,9,21,.429,5,16,.313,4,5,.800,.548,2,2,1.000,3,9,12,1,0,0,3,10,25,sheppbe01
173,Reed Sheppard,PG,20,HOU,3,0,10,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,1,2,1,1,1,0,sheppre01
